"...1","Name","startdato","slutdato","party","partyShortname","sex","born","bloc"
270,"Høgni Hoydal","2016-10-04T00:00:00Z",NA,NA,"g_f","m","24194",NA
271,"Jens Kirk","1996-10-01T00:00:00Z",NA,NA,"V","m","15376","right"
272,"Søren Gade",NA,NA,NA,"V","m","23038","right"
273,"Anne-Marie Meldgaard","2009-10-07T00:00:00Z",NA,NA,"S","f","17712","left"
274,"Elisabeth Arnold","2005-03-01T00:00:00Z",NA,NA,"RV","f","15269","left"
275,"Henriette Kjær",NA,NA,NA,"KF","f","24230","right"
276,"Anne Grete Holmsgaard","1986-10-07T00:00:00Z",NA,NA,"SF","f","17756","left"
277,"Connie Hedegaard","2005-02-18T00:00:00Z","2007-11-23T00:00:00Z",NA,"KF","f","22174","right"
278,"Thomas Adelskov",NA,NA,NA,"S","m","23553","left"
279,"Christian Wedell-Neergaard","2005-02-22T00:00:00Z",NA,NA,"KF","m","20644","right"
280,"Britta Schall Holberg",NA,NA,NA,"V","f","15182","right"
281,"Gitte Seeberg",NA,NA,NA,"KF","f","22092","right"
282,"Henrik Brodersen","2016-10-04T00:00:00Z",NA,NA,"DF","m","23531","right"
283,"Charlotte Fischer",NA,NA,NA,"RV","f","23195","left"
284,"Kim Mortensen","2007-11-28T00:00:00Z",NA,"Socialdemokratiet","S","m","23379","left"
285,"Johs. Poulsen",NA,NA,NA,"RV","m","20395","left"
286,"Bente Dahl","2010-10-06T00:00:00Z","2011-09-15T00:00:00Z",NA,"RV","f","16901","left"
287,"Tina Petersen","2010-10-06T00:00:00Z","2011-09-15T00:00:00Z",NA,"DF","f","24092","right"
288,"Vibeke Grave",NA,NA,NA,"S","f","21216","left"
289,"Bjørn Medom Nielsen",NA,NA,NA,"S","m","20522","left"
290,"Jørgen S. Lundsgaard",NA,NA,NA,"KF","m","16619","right"
291,"Ib Poulsen","2016-10-04T00:00:00Z",NA,NA,"DF","m","23775","right"
292,"Tage Leegaard","2010-10-06T00:00:00Z","2011-09-15T00:00:00Z",NA,"KF","m","20033","right"
293,"Knud Kristensen","2009-10-07T00:00:00Z","2010-01-07T00:00:00Z",NA,"KF","m","19517","right"
294,"Jørgen Poulsen","2007-11-27T00:00:00Z",NA,NA,"RV","m","15892","left"
295,"Flemming Bonne",NA,NA,"Socialistisk Folkeparti","SF","m","16339","left"
296,"Anne Marie Geisler Andersen",NA,NA,NA,"RV","f","29691","left"
297,"Henrik Rasmussen",NA,NA,NA,"KF","m","26194","right"
298,"Ole Glahn",NA,NA,NA,"RV","m","17244","left"
299,"Ole Vagn Christensen","2002-10-01T00:00:00Z",NA,NA,"S","m","15854","left"
300,"Helge Sander","1996-10-01T00:00:00Z",NA,NA,"V","m","18502","right"
301,"Julie Rademacher",NA,NA,NA,"S","f","30786","left"
302,"Per Bisgaard","2010-10-06T00:00:00Z","2010-10-26T00:00:00Z",NA,"V","m","20301","right"
303,"Per Dalgaard","2002-10-01T00:00:00Z",NA,NA,"DF","m","16119","right"
304,"Per Ørum Jørgensen","2007-11-27T00:00:00Z",NA,NA,"KF","m","25911","right"
305,"Poul Erik Christensen",NA,NA,NA,"RV","m","15839","left"
306,"Poul Henrik Hedeboe",NA,NA,NA,"SF","m","16995","left"
307,"Rasmus Jarlov",NA,NA,NA,"KF","m","28244","right"
308,"René Skau Björnsson","2002-10-01T00:00:00Z",NA,NA,"S","m","24517","left"
309,"Rikke Hvilshøj",NA,NA,"Venstre","V","f","25693","right"
310,"Bendt Bendtsen",NA,NA,NA,"KF","m","19808","right"
311,"Karl H. Bornhøft",NA,NA,NA,"SF","m","18099","left"
312,"Laura Lindahl","2016-10-04T00:00:00Z","2016-12-31T00:00:00Z",NA,"LA","f","30506","right"
313,"Walter Christophersen",NA,NA,NA,"DF","m","18791","right"
314,"Yildiz Akdogan","2016-10-04T00:00:00Z",NA,NA,"S","f","26783","left"
